Quote on 1/29/25 17:53:43

Bullish
Symbol,Last,Net Chng,ATR,BreakD,Phae-D,BreakWk,Phae-W,BreakM,Phae-M
AFL,107.62,+.34,1.86,$|0.83|1.01|-0.20|0.18|-1.03,A Bull|H5 Green 3,!|0|0|0|-0.41|-1.62,A Bull|H2 Green 2u,?|7.15|6.98|5.77|-0.17|-1.38,A Bull|H0 Bu Rev 50%
ALK,72.20,+.79,2.18,$|0.05|-0.57|-1.26|-0.62|-1.31,A Bull|H2 Green 2u(G),!|0|0|0|-0.50|-1.19,A Bull|H2 Green 2u,!|0|0|0|-4.47|-5.16,A Bull|H2 Green 2u
API,5.78,+.55,0.48,!|0|0|0|-0.50|-0.67,A Bull|H1 Bu Rev 3-2u,!|0|0|0|-0.43|-0.60,A Bull|H2 Green 2u,?|1.35|0.86|0.69|-0.49|-0.66,A Bull|H0 Bu Rev 50%
APP,366.34,+5.59,20.79,!|0|0|0|2.04|-2.26,A Bull|H2 Green 2u,?|17.33|5.43|1.14|-11.89|-16.19,A Bull|H0 Bu Rev 50%,?|54.75|51.30|45.86|-3.46|-8.89,A Bull|H0 Bu Rev 50%
AS,32.77,+.87,1.16,!|0|0|0|-0.80|-1.01,A Bull|H2 Green 2u,!|0|0|0|-1.17|-1.38,A Bull|H2 Green 2u,!|0|0|0|-3.34|-3.55,A Bull|H2 Green 2u
ATEC,12.06,+.61,0.55,$|0.04|-0.50|-0.66|-0.54|-0.70,A Bull|C Bu Rev 1-2-2,$|0.52|-0.04|-0.20|-0.55|-0.71,A Bull|H5 Green 3,!|0|0|0|-1.43|-1.59,A Bull|H2 Green 2u
ATRC,42.40,+.30,1.71,!|0|0|0|-0.15|-0.86,A Bull|H1 Bu Rev 3-2u,!|0|0|0|-1.35|-2.06,A Bull|H2 Green 2u,$|1.01|-4.06|-4.77|-5.07|-5.78,A Bull|G Bu Rev 2-2
AXSM,105.14,+2.68,4.41,?|0.64|0.50|0.16|-0.14|-0.48,A Bull|D Bu Rev 3-2-2,!|0|0|0|-0.14|-0.64,A Bull|H2 Green 2u,$|2.58|-0.14|-0.64|-2.72|-3.22,A Bull|G Bu Rev 2-2
BAM,61.36,+.27,1.53,!|0|0|0|-0.10|-0.25,A Bull|H2 Green 2u,!|0|0|0|-1.25|-1.40,A Bull|H2 Green 2u,$|3.42|-1.78|-1.93|-5.20|-5.35,A Bull|H5 Green 3
BBAR,22.84,+1.46,1.45,$|0.80|-0.46|-0.46|-1.26|-1.26,A Bull|B Bu Rev 2-2 (H),?|1.17|1.06|1.06|-0.11|-0.11,A Bull|H0 Bu Rev 50%,!|0|0|0|-2.84|-5.01,A Bull|H2 Green 2u
BBVA,11.53,+.05,0.22,!|0|0|0|-0.04|-0.12,A Bull|H2 Green 2u,!|0|0|0|-0.22|-0.29,A Bull|H2 Green 2u(G),$|0.19|-1.03|-1.10|-1.22|-1.29,A Bull|F Bu Rev 2-1-2
BLK,1052.61,+1.41,22.72,!|0|0|0|3.11|-11.11,A Bull|H2 Green 2u,!|0|0|0|-25.66|-39.88,A Bull|H2 Green 2u,?|40.24|29.84|15.62|-10.40|-24.62,A Bull|H0 Bu Rev 50%
